,Highest,Lowest,Highest_Val,Lowest_Val
A,INCY,TTWO,0.9449566763914945,-0.7712042097017555
AAL,DAL,DG,0.9174180143425973,-0.5985548234019565
AAP,DG,AVGO,0.9434027638810111,-0.9246314798123887
AAPL,MSFT,DG,0.9521356168496566,-0.7978086885678728
ABBV,CPB,AMZN,0.7972631940932132,-0.7641811130649028
ABC,CAH,AAP,0.967980405764794,-0.8249475438644548
ABT,BDX,LHX,0.7612216207173698,-0.3436601860327514
ACGL,LIN,LNC,0.9522353682512343,-0.8668068921075142
ACN,ADBE,DG,0.8635812117997361,-0.5340924477539892
ADBE,NOW,DG,0.9323647384753873,-0.7742213528184468
ADI,AOS,DVN,0.9438854367387314,-0.7975909860488454
ADM,GD,WST,0.8880136370604941,-0.7537010642175005
ADP,MMM,LW,0.8313708480419048,-0.6198445502610247
ADSK,WDC,GIS,0.7744320439641657,-0.5022245051082969
AEE,CNP,BIIB,0.9462165072959166,-0.3826716886778015
AEP,ES,RCL,0.9607865847023751,-0.5608304289054096
AES,WRB,META,0.8877118049982811,-0.8312316994253265
AFL,CAT,CTLT,0.9298149353223504,-0.680758759589308
AIG,HIG,GEHC,0.8791461515639406,-0.6269861738843818
AIZ,HAS,AXON,0.9085433175783219,-0.8358565087802747
AJG,MMC,AAP,0.9626266398408643,-0.7611997356008959
AKAM,ACN,PGR,0.7793929507869533,-0.5477880102346323
ALB,CMA,HSY,0.8502639063611386,-0.7741605410466179
ALGN,XRAY,ENPH,0.9147913330690705,-0.7920053859564553
ALK,DFS,HUM,0.9022462363524602,-0.4827265120354059
ALL,SCHW,CRM,0.850566306013407,-0.822066281077476
ALLE,JCI,D,0.9128464626112754,-0.5937887508898892
AMAT,LRCX,AAP,0.9767514487149774,-0.8595730827202667
AMCR,SEE,FTNT,0.9093281164947117,-0.7329635484825829
AMD,SNPS,DG,0.9589798279758183,-0.8264858514054754
AME,IR,BRK.B,0.961571554277294,-0.7995390833398452
AMGN,GD,GEHC,0.882855003097549,-0.7155742113500742
AMP,CAT,D,0.9412093889021262,-0.6018841770956735
AMT,CCI,PCG,0.9499325593487032,-0.7565153212897427
AMZN,INVH,FMC,0.9030484296006461,-0.8255896384704122
ANET,ANSS,AAP,0.9109985820958393,-0.7990277747503994
ANSS,CDNS,DVN,0.9664623113481459,-0.8295480267754609
AON,HCA,CF,0.9469697857135719,-0.7457326173644756
AOS,TDG,ENPH,0.9521401541807165,-0.7717196389747626
APA,MRO,WST,0.9369605111181109,-0.7295859308760131
APD,ROST,CTLT,0.9118671293414644,-0.6233272312195697
APH,FTV,AAP,0.9493361537130236,-0.5892259426465486
APTV,CDAY,MOH,0.8877231743953882,-0.5490762773702275
ARE,PEAK,FTNT,0.9692659127165748,-0.7177652026410419
ATO,PNW,AAP,0.8982790121722573,-0.5528453562040472
ATVI,BF.B,DG,0.8801412988277091,-0.7187824975819546
AVB,INVH,ABBV,0.9691970343621839,-0.6910620947578622
AVGO,NVDA,DG,0.9815876593260108,-0.9339118155109317
AVY,SEE,GEHC,0.8528517082927807,-0.49411255381446795
AWK,PPL,GEHC,0.9077955211391595,-0.4968277535002932
AXON,WYNN,LNC,0.9168531084890217,-0.8857564559457658
AXP,TER,DG,0.8797904667938315,-0.6145739036488588
AZO,TSCO,D,0.8643484961091162,-0.6751001515530125
BA,TPR,LNC,0.9489606798954865,-0.8079927281796383
BAC,FITB,HSY,0.9374389500805521,-0.7328293494835436
BALL,VTR,NOC,0.8333599692897156,-0.41977031560049904
BAX,JKHY,WYNN,0.8784895453687707,-0.8866214083377123
BBWI,VTRS,GEHC,0.7556953828168549,-0.6611740752480166
BBY,BEN,NRG,0.9056678982073421,-0.4243755975031423
BDX,PEG,DG,0.8387585358104268,-0.48153875781233807
BEN,BBY,MOH,0.9056678982073421,-0.467643598116534
