Date,Close/Last,Volume,Open,High,Low
08/04/2023,$69.96,674693,$70.57,$70.82,$69.88
08/03/2023,$70.38,729387,$70.91,$70.955,$70.29
08/02/2023,$70.59,734058,$70.62,$71.27,$70.27
08/01/2023,$70.81,664273,$70.23,$70.91,$70.21
07/31/2023,$70.60,1747600,$70.75,$71.00,$70.24
07/28/2023,$70.82,773150,$70.68,$70.96,$70.22
07/27/2023,$69.87,1015612,$70.50,$71.08,$69.78
07/26/2023,$70.36,844102,$69.43,$70.43,$69.3481
07/25/2023,$69.77,1013920,$69.00,$69.79,$68.80
07/24/2023,$69.09,682266,$68.65,$69.19,$68.37
07/21/2023,$68.62,935746,$69.11,$69.12,$68.25
07/20/2023,$68.84,1055577,$68.76,$68.87,$68.195
07/19/2023,$68.62,1221518,$67.42,$68.76,$67.42
07/18/2023,$67.30,1294047,$66.94,$67.88,$66.67
07/17/2023,$66.68,1040893,$67.27,$67.52,$66.28
07/14/2023,$67.54,1074781,$66.75,$67.54,$66.60
07/13/2023,$66.89,1039799,$66.40,$67.02,$66.18
07/12/2023,$66.02,761487,$66.54,$66.59,$65.89
07/11/2023,$65.95,725271,$65.72,$66.01,$65.46
07/10/2023,$65.53,1285023,$66.21,$66.75,$65.24
07/07/2023,$66.19,1044331,$66.43,$66.81,$66.09
07/06/2023,$66.83,1223750,$66.65,$67.02,$65.92
07/05/2023,$67.00,1137002,$66.50,$67.06,$66.47
07/03/2023,$66.82,511283,$66.61,$67.28,$66.52
06/30/2023,$66.78,956819,$66.50,$67.135,$65.92
06/29/2023,$66.30,1065630,$65.43,$66.40,$65.26
06/28/2023,$65.62,1293969,$65.99,$66.35,$65.41
06/27/2023,$66.12,876335,$65.51,$66.18,$65.34
06/26/2023,$65.44,902381,$65.07,$65.51,$64.57
06/23/2023,$65.04,2298489,$65.85,$66.147,$64.84
06/22/2023,$65.84,1374325,$66.54,$66.66,$65.55
06/21/2023,$66.32,2852284,$64.72,$66.41,$64.25
06/20/2023,$64.83,2480117,$64.75,$65.23,$64.23
06/16/2023,$65.40,2668543,$65.61,$65.79,$65.08
06/15/2023,$65.20,2365896,$65.14,$65.55,$64.9066
06/14/2023,$64.96,2258610,$65.58,$66.20,$64.90
06/13/2023,$65.20,1551653,$63.51,$65.23,$63.37
06/12/2023,$63.55,1570900,$64.43,$64.43,$63.53
06/09/2023,$64.34,1101823,$65.46,$65.68,$64.26
06/08/2023,$65.43,1607353,$65.26,$65.69,$64.9958
06/07/2023,$64.77,2355383,$62.90,$65.15,$62.29
06/06/2023,$62.50,1520746,$63.50,$63.55,$62.23
06/05/2023,$63.08,1351781,$63.85,$64.10,$63.01
06/02/2023,$64.05,1494262,$61.93,$64.06,$61.83
06/01/2023,$61.81,1322791,$61.97,$62.28,$61.66
05/31/2023,$61.77,2978093,$61.61,$62.095,$61.13
05/30/2023,$61.53,1410974,$61.37,$61.94,$60.90
05/26/2023,$61.58,1028933,$61.47,$61.8403,$61.075
05/25/2023,$61.20,907084,$61.54,$61.795,$60.915
05/24/2023,$61.81,872888,$62.87,$62.87,$61.73
05/23/2023,$62.98,1155220,$64.17,$64.25,$62.93
05/22/2023,$64.34,1267904,$63.64,$64.38,$63.48
05/19/2023,$63.70,994989,$63.52,$63.78,$63.20
05/18/2023,$63.18,1012432,$63.10,$63.42,$62.88
05/17/2023,$63.30,1148518,$63.08,$63.405,$62.695
05/16/2023,$63.01,1118941,$63.89,$64.10,$63.00
05/15/2023,$64.26,733119,$64.46,$64.58,$63.96
05/12/2023,$64.27,816192,$64.12,$64.455,$63.81
05/11/2023,$64.22,651195,$64.10,$64.27,$63.61
05/10/2023,$64.23,905477,$63.99,$64.26,$63.5072
05/09/2023,$63.80,683106,$64.48,$64.625,$63.76
05/08/2023,$64.63,678526,$64.58,$64.885,$64.4441
05/05/2023,$64.67,1018686,$64.25,$64.795,$64.21
05/04/2023,$64.32,753159,$64.45,$64.725,$63.98
05/03/2023,$64.32,974860,$64.91,$65.23,$64.245
05/02/2023,$64.61,1613968,$65.05,$65.12,$64.00
05/01/2023,$65.29,1085032,$65.22,$65.63,$65.12
04/28/2023,$65.09,1481989,$65.13,$65.14,$63.73
04/27/2023,$65.28,1306555,$64.06,$65.33,$63.85
04/26/2023,$64.00,1516035,$63.59,$64.18,$63.59
04/25/2023,$63.95,1106015,$63.67,$64.11,$63.57
04/24/2023,$63.58,1288726,$64.28,$64.35,$63.43
04/21/2023,$63.97,7518777,$64.61,$65.0099,$63.89
04/20/2023,$64.07,1179197,$64.07,$64.50,$63.87
04/19/2023,$64.15,1526416,$63.86,$64.19,$63.55
04/18/2023,$63.68,1233374,$63.79,$63.915,$62.85
04/17/2023,$63.72,1671423,$63.16,$63.72,$62.57
04/14/2023,$62.78,1306560,$62.70,$62.9962,$62.22
04/13/2023,$63.05,957028,$62.52,$63.07,$62.335
04/12/2023,$62.56,980365,$63.13,$63.37,$62.42
04/11/2023,$63.23,793859,$62.76,$63.32,$62.45
04/10/2023,$62.70,954746,$62.27,$62.72,$62.02
04/06/2023,$62.66,1774609,$62.75,$63.12,$62.07
04/05/2023,$62.93,1249780,$63.35,$63.49,$62.82
04/04/2023,$62.90,935311,$64.07,$64.545,$62.81
04/03/2023,$64.08,1291988,$63.93,$64.1399,$63.55
03/31/2023,$64.27,1167460,$63.86,$64.37,$63.78
03/30/2023,$63.54,1158110,$63.87,$63.98,$63.195
03/29/2023,$63.69,742917,$63.31,$63.83,$63.03
03/28/2023,$62.98,890535,$63.08,$63.55,$62.95
03/27/2023,$63.06,903854,$63.17,$63.615,$62.83
03/24/2023,$62.95,1373412,$62.09,$63.00,$61.58
03/23/2023,$61.79,1355665,$62.26,$62.41,$61.49
03/22/2023,$62.43,946135,$62.38,$63.54,$62.38
03/21/2023,$62.38,1106810,$62.53,$62.79,$61.98
03/20/2023,$62.38,1020397,$61.85,$62.53,$61.78
03/17/2023,$61.66,2424234,$62.43,$62.445,$61.46
03/16/2023,$62.39,929609,$61.59,$62.66,$61.48
03/15/2023,$61.81,1326927,$61.78,$62.16,$61.325
03/14/2023,$62.29,1479250,$62.70,$63.01,$61.33
03/13/2023,$62.28,1498177,$61.62,$63.13,$61.51
03/10/2023,$61.52,1366450,$62.24,$62.72,$61.44
03/09/2023,$62.29,1750052,$64.29,$64.44,$62.26
03/08/2023,$63.48,2632312,$64.91,$65.52,$62.13
03/07/2023,$66.26,1586736,$67.04,$67.36,$65.93
03/06/2023,$67.28,1307810,$67.13,$67.80,$66.95
03/03/2023,$67.03,1529976,$66.07,$67.26,$65.95
03/02/2023,$65.83,1067573,$64.02,$65.86,$63.94
03/01/2023,$64.25,765414,$64.99,$65.07,$63.82
02/28/2023,$64.87,1582769,$64.94,$65.95,$64.80
02/27/2023,$65.24,894745,$65.41,$65.75,$64.97
02/24/2023,$64.99,1281254,$64.62,$65.22,$64.31
02/23/2023,$65.15,558790,$65.39,$65.51,$64.78
02/22/2023,$65.06,729400,$65.41,$65.76,$64.79
02/21/2023,$64.90,727690,$65.34,$65.47,$64.87
02/17/2023,$65.65,873785,$65.32,$65.71,$64.97
02/16/2023,$65.42,1037110,$65.03,$65.81,$64.80
02/15/2023,$65.58,732711,$65.20,$65.58,$64.55
02/14/2023,$65.31,863001,$65.73,$65.82,$64.78
02/13/2023,$65.89,572770,$65.25,$65.93,$64.86
02/10/2023,$65.01,977475,$64.46,$65.20,$63.91
02/09/2023,$64.55,932501,$65.37,$65.74,$64.15
02/08/2023,$65.03,825617,$65.21,$65.83,$65.00
02/07/2023,$65.79,1113377,$66.18,$66.48,$65.03
02/06/2023,$66.65,963813,$66.50,$66.88,$66.06
