,Highest,Lowest,Highest_Val,Lowest_Val
A,INCY,TTWO,0.9449566897549302,-0.7712041777583253
AAL,DAL,DG,0.9174180143425973,-0.5985548398248791
AAP,DG,AVGO,0.9434027480758072,-0.9246314817556842
AAPL,MSFT,DG,0.9521356244029238,-0.797808709230901
ABBV,CPB,AMZN,0.7972631785706096,-0.7641811170207263
ABC,CAH,AAP,0.9679804080106534,-0.8249475506982357
ABT,BDX,LHX,0.7612216262220382,-0.34366016552001655
ACGL,LIN,LNC,0.9522353682512343,-0.8668068893602103
ACN,ADBE,DG,0.8635812220462671,-0.534092463257506
ADBE,NOW,DG,0.9323647384753873,-0.774221370552767
ADI,AOS,DVN,0.943885435417776,-0.7975909860488454
ADM,GD,WST,0.8880136260968481,-0.7537010808226254
ADP,MMM,LW,0.831370885782728,-0.6198446048267328
ADSK,WDC,GIS,0.7744320439641657,-0.5022245279193365
AEE,CNP,BIIB,0.9462164944786291,-0.38267163405577087
AEP,ES,RCL,0.9607865727124799,-0.5608304077633197
AES,WRB,META,0.887711787306132,-0.8312316962303778
AFL,CAT,CTLT,0.92981493556457,-0.6807587813510537
AIG,HIG,GEHC,0.8791461338428594,-0.6269861554574072
AIZ,HAS,AXON,0.9085432965544897,-0.8358565073639883
AJG,MMC,AAP,0.962626633535757,-0.7611997416689903
AKAM,ACN,PGR,0.7793929159050781,-0.54778803165619
ALB,CMA,HSY,0.8502638940648133,-0.7741605454337939
ALGN,XRAY,ENPH,0.9147913330690705,-0.7920053859564553
ALK,DFS,HUM,0.9022462388452935,-0.48272649810199153
ALL,SCHW,CRM,0.8505662935718525,-0.8220662901262245
ALLE,JCI,D,0.9128464478934463,-0.5937887511715944
AMAT,LRCX,AAP,0.9767514474397406,-0.8595730772291602
AMCR,SEE,FTNT,0.9093281179784211,-0.7329635484825829
AMD,SNPS,DG,0.9589798279758183,-0.8264858764702624
AME,IR,BRK.B,0.961571556755428,-0.7995391256441174
AMGN,GD,GEHC,0.8828549648778448,-0.7155741958852978
AMP,CAT,D,0.9412093968928963,-0.6018841890033962
AMT,CCI,PCG,0.9499325644634482,-0.7565153141552315
AMZN,INVH,FMC,0.9030484209269544,-0.8255896434943645
ANET,ANSS,AAP,0.9109985820958393,-0.7990277726565769
ANSS,CDNS,DVN,0.9664623113481459,-0.8295480267754609
AON,HCA,CF,0.9469697663957901,-0.7457325753679267
AOS,TDG,ENPH,0.9521401548529556,-0.7717196411142493
APA,MRO,WST,0.9369605075557821,-0.7295859132122129
APD,ROST,CTLT,0.9118671478920066,-0.6233271895464573
APH,FTV,AAP,0.9493361469472359,-0.5892258444776844
APTV,CDAY,MOH,0.8877231743953882,-0.5490762773702275
ARE,PEAK,FTNT,0.9692659165843884,-0.7177652026410419
ATO,PNW,AAP,0.8982790010676981,-0.5528453544267941
ATVI,BF.B,DG,0.8801412988277091,-0.7187825136274133
AVB,INVH,ABBV,0.9691970228617048,-0.6910621211524579
AVGO,NVDA,DG,0.9815876597934917,-0.9339118154446517
AVY,SEE,GEHC,0.8528517307565285,-0.49411252152716995
AWK,PPL,GEHC,0.907795486959799,-0.4968278168280894
AXON,WYNN,LNC,0.9168531084890217,-0.8857564514427001
AXP,TER,DG,0.8797904812330614,-0.6145738992058088
AZO,TSCO,D,0.8643484916245234,-0.675100134054109
